[229]   validation_0-logloss:0.60089    validation_0-auc:0.76120        validation_1-logloss:0.60235    validation_1-auc:0.72462
[230]   validation_0-logloss:0.60070    validation_0-auc:0.76146        validation_1-logloss:0.60217    validation_1-auc:0.72477
[231]   validation_0-logloss:0.60062    validation_0-auc:0.76155        validation_1-logloss:0.60210    validation_1-auc:0.72476
[232]   validation_0-logloss:0.60052    validation_0-auc:0.76164        validation_1-logloss:0.60201    validation_1-auc:0.72484
[233]   validation_0-logloss:0.60034    validation_0-auc:0.76188        validation_1-logloss:0.60183    validation_1-auc:0.72492
[234]   validation_0-logloss:0.60024    validation_0-auc:0.76203        validation_1-logloss:0.60173    validation_1-auc:0.72488
[235]   validation_0-logloss:0.60006    validation_0-auc:0.76227        validation_1-logloss:0.60155    validation_1-auc:0.72496
[236]   validation_0-logloss:0.59991    validation_0-auc:0.76247        validation_1-logloss:0.60142    validation_1-auc:0.72497
[237]   validation_0-logloss:0.59986    validation_0-auc:0.76254        validation_1-logloss:0.60136    validation_1-auc:0.72499
[238]   validation_0-logloss:0.59980    validation_0-auc:0.76260        validation_1-logloss:0.60131    validation_1-auc:0.72498
[239]   validation_0-logloss:0.59968    validation_0-auc:0.76277        validation_1-logloss:0.60119    validation_1-auc:0.72499
[240]   validation_0-logloss:0.59957    validation_0-auc:0.76291        validation_1-logloss:0.60110    validation_1-auc:0.72491
